date,hour,temprature,precip_prob,wind_speed
1/1/2017,20,8.3,0,2.6
1/2/2017,20,4.4,0.03,4.1
1/3/2017,20,5.6,0.2,5.7
1/4/2017,20,10,0,5.1
1/5/2017,20,0,0,0
1/6/2017,20,0,0,3.6
1/7/2017,20,-6.7,0.1,2.6
1/8/2017,20,-4.4,0,2.6
1/9/2017,20,-5,0,1.5
1/10/2017,20,2.2,0,1.5
1/11/2017,20,10.6,0,1.5
1/12/2017,20,18.3,0,4.1
1/13/2017,20,5.6,0,3.6
1/14/2017,20,-1.7,0.1,1.5
1/15/2017,20,3.3,0,1.5
1/16/2017,20,5.6,0,3.6
1/17/2017,20,4.4,0.03,3.1
1/18/2017,20,5,0,2.6
1/19/2017,20,6.7,0,3.6
1/20/2017,20,5.6,0.03,1.5
1/21/2017,20,7.2,0,1.5
1/22/2017,20,7.8,0.03,4.6
1/23/2017,20,3.3,0.05,9.3
1/24/2017,20,2.2,0.05,2.6
1/25/2017,20,8.9,0,2.6
1/26/2017,20,8.9,0,7.7
1/27/2017,20,5,0,0
1/28/2017,20,2.8,0,3.6
1/29/2017,20,5.6,0,2.1
1/30/2017,20,2.2,0,4.6
1/31/2017,20,-1.1,0,3.1
2/1/2017,20,7.8,0,2.6
2/2/2017,20,5.6,0,2.6
2/3/2017,20,0.6,0,0
2/4/2017,20,1.1,0,4.1
2/5/2017,20,5,0,3.6
2/6/2017,20,8.9,0,2.6
2/7/2017,20,2.8,0,4.1
2/8/2017,20,13.9,0,3.6
2/9/2017,20,-3.9,0,5.7
2/10/2017,20,-0.6,0,3.6
2/11/2017,20,8.3,0,2.1
2/12/2017,20,0.6,0.05,3.1
2/13/2017,20,1.7,0,2.6
2/14/2017,20,3.9,0,3.1
2/15/2017,20,7.8,0,0
2/16/2017,20,1.1,0,6.2
2/17/2017,20,5,0,3.1
2/18/2017,20,17.2,0,3.1
2/19/2017,20,17.8,0,3.6
2/20/2017,20,11.7,0,2.6
2/21/2017,20,6.7,0,0
2/22/2017,20,13.9,0,2.6
2/23/2017,20,18.3,0,2.1
2/24/2017,20,18.9,0,4.1
2/25/2017,20,15.6,0,5.1
2/26/2017,20,5.6,0,4.6
2/27/2017,20,11.7,0,3.6
2/28/2017,20,12.8,0,1.5
3/1/2017,20,17.8,0,1.5
3/2/2017,20,6.7,0,4.1
3/3/2017,20,3.9,0,3.1
3/4/2017,20,-1.7,0,2.6
3/5/2017,20,2.2,0,2.1
3/6/2017,20,5.6,0,0
3/7/2017,20,10.6,0,0
3/8/2017,20,14.4,0,2.6
3/9/2017,20,16.1,0,1.5
3/10/2017,20,2.2,0,2.1
3/11/2017,20,-2.2,0,5.7
3/12/2017,20,-1.7,0,4.1
3/13/2017,20,1.7,0,0
3/14/2017,20,-1.7,0.03,5.1
3/15/2017,20,-3.9,0,8.2
3/16/2017,20,3.9,0,4.6
3/17/2017,20,7.8,0,3.1
3/18/2017,20,1.7,0.05,3.1
3/19/2017,20,7.8,0,4.6
3/20/2017,20,10,0,0
3/21/2017,20,14.4,0,2.1
3/22/2017,20,0,0,6.2
3/23/2017,20,5.6,0,2.6
3/24/2017,20,12.2,0,1.5
3/25/2017,20,11.1,0,4.6
3/26/2017,20,5,0,2.6
3/27/2017,20,10.6,0,0
3/28/2017,20,5.6,0,3.6
3/29/2017,20,13.9,0,3.1
3/30/2017,20,8.9,0,5.1
3/31/2017,20,3.9,0.23,5.7
4/1/2017,20,7.8,0,5.1
4/2/2017,20,16.7,0,4.6
4/3/2017,20,13.3,0,4.6
4/4/2017,20,9.4,0,0
4/5/2017,20,16.7,0,3.6
4/6/2017,20,6.1,0.91,0
4/7/2017,20,8.9,0,4.6
4/8/2017,20,13.3,0,4.1
4/9/2017,20,16.1,0,3.1
4/10/2017,20,23.3,0,2.6
4/11/2017,20,23.9,0,0
4/12/2017,20,23.3,0,0
4/13/2017,20,17.8,0,2.6
4/14/2017,20,17.8,0,2.1
4/15/2017,20,16.7,0,2.1
4/16/2017,20,22.8,0,3.1
4/17/2017,20,21.7,0,4.1
4/18/2017,20,14.4,0,6.2
4/19/2017,20,8.9,0,4.1
4/20/2017,20,18.3,0,3.1
4/21/2017,20,10.6,0,4.6
4/22/2017,20,11.7,0.13,1.5
4/23/2017,20,16.7,0,4.1
4/24/2017,20,15,0,1.5
4/25/2017,20,11.7,0.1,3.6
4/26/2017,20,15,0,2.1
4/27/2017,20,18.3,0,3.6
4/28/2017,20,27.2,0,2.6
4/29/2017,20,27.8,0,4.1
4/30/2017,20,13.9,0,2.1
5/1/2017,20,19.4,0,3.6
5/2/2017,20,22.8,0,5.1
5/3/2017,20,17.2,0,4.6
5/4/2017,20,13.9,0,1.5
5/5/2017,20,14.4,0.03,2.1
5/6/2017,20,16.1,0,0
5/7/2017,20,9.4,0,3.1
5/8/2017,20,13.9,0,4.1
5/9/2017,20,14.4,0,0
5/10/2017,20,18.9,0,2.6
5/11/2017,20,15,0,2.6
5/12/2017,20,13.9,0,1.5
5/13/2017,20,10,0.33,5.1
5/14/2017,20,18.3,0,2.6
5/15/2017,20,19.4,0,5.1
5/16/2017,20,25,0,3.1
5/17/2017,20,32.2,0,3.1
5/18/2017,20,32.2,0,0
5/19/2017,20,31.1,0,2.6
5/20/2017,20,17.2,0,0
5/21/2017,20,17.2,0,2.1
5/22/2017,20,15,0.13,0
5/23/2017,20,20,0,0
5/24/2017,20,19.4,0,1.5
5/25/2017,20,14.4,0,4.6
5/26/2017,20,22.2,0,0
5/27/2017,20,21.7,0,1.5
5/28/2017,20,19.4,0,2.6
5/29/2017,20,13.9,0,1.5
5/30/2017,20,14.4,0,4.1
5/31/2017,20,23.9,0,2.1
6/1/2017,20,24.4,0,5.1
6/2/2017,20,23.3,0.03,0
6/3/2017,20,22.2,0,4.6
6/4/2017,20,16.1,0,2.6
6/5/2017,20,18.9,0,2.6
6/6/2017,20,13.3,0,3.1
6/7/2017,20,19.4,0,0
6/8/2017,20,17.8,0,1.5
6/9/2017,20,26.7,0,3.1
6/10/2017,20,28.9,0,2.6
6/11/2017,20,31.7,0,2.6
6/12/2017,20,33.3,0,1.5
6/13/2017,20,33.3,0,2.1
6/14/2017,20,25.6,0,2.1
6/15/2017,20,22.2,0,3.6
6/16/2017,20,19.4,0,2.6
6/17/2017,20,22.2,0,0
6/18/2017,20,27.8,0,0
6/19/2017,20,25,0.84,0
6/20/2017,20,26.7,0,2.6
6/21/2017,20,27.8,0,3.1
6/22/2017,20,27.2,0,0
6/23/2017,20,27.2,0,2.6
6/24/2017,20,27.8,0,1.5
6/25/2017,20,25,0,2.1
6/26/2017,20,23.3,0,3.1
6/27/2017,20,23.3,0,0
6/28/2017,20,25.6,0,3.1
6/29/2017,20,26.7,0,4.1
6/30/2017,20,30.6,0,3.6
7/1/2017,20,26.1,0,2.6
7/2/2017,20,30,0,3.1
7/3/2017,20,21.7,1,1.5
7/4/2017,20,26.7,0,0
7/5/2017,20,26.1,0,3.1
7/6/2017,20,23.9,0,1.5
7/7/2017,20,26.1,0,2.6
7/8/2017,20,27.8,0,0
7/9/2017,20,27.2,0,0
7/10/2017,20,27.2,0,2.6
7/11/2017,20,28.9,0,3.1
7/12/2017,20,30.6,0,5.1
7/13/2017,20,29.4,0,4.1
7/14/2017,20,20.6,0.13,2.1
7/15/2017,20,28.3,0,2.1
7/16/2017,20,27.8,0,2.6
7/17/2017,20,27.2,0,3.1
7/18/2017,20,28.9,0,3.6
7/19/2017,20,32.8,0,0
7/20/2017,20,32.2,0,1.5
7/21/2017,20,32.2,0,2.6
7/22/2017,20,31.7,0,0
7/23/2017,20,24.4,0,2.1
7/24/2017,20,20.6,0,1.5
7/25/2017,20,21.7,0,0
7/26/2017,20,23.3,0,1.5
7/27/2017,20,23.3,0,1.5
7/28/2017,20,27.2,0,0
7/29/2017,20,23.3,0,2.6
7/30/2017,20,26.7,0,3.1
7/31/2017,20,30,0,0
8/1/2017,20,30,0,2.1
8/2/2017,20,22.8,0.03,4.1
8/3/2017,20,27.2,0,3.1
8/4/2017,20,27.2,0,0
8/5/2017,20,25,0,4.1
8/6/2017,20,23.9,0,3.1
8/7/2017,20,18.3,0.2,0
8/8/2017,20,24.4,0,1.5
8/9/2017,20,26.7,0,0
8/10/2017,20,26.7,0,0
8/11/2017,20,24.4,0,2.1
8/12/2017,20,24.4,0,2.1
8/13/2017,20,27.8,0,0
8/14/2017,20,25.6,0,2.6
8/15/2017,20,22.8,0,0
8/16/2017,20,28.3,0,0
8/17/2017,20,25.6,0,0
8/18/2017,20,26.7,0,2.6
8/19/2017,20,28.9,0,2.1
8/20/2017,20,27.2,0,2.6
8/21/2017,20,28.9,0,1.5
8/22/2017,20,31.1,0,2.6
8/23/2017,20,26.1,0,4.1
8/24/2017,20,25.6,0,2.1
8/25/2017,20,23.3,0,2.1
8/26/2017,20,24.4,0,3.1
8/27/2017,20,23.9,0,3.1
8/28/2017,20,22.8,0,4.1
8/29/2017,20,17.8,0.13,3.6
8/30/2017,20,24.4,0,2.1
8/31/2017,20,25,0,0
9/1/2017,20,21.1,0,2.6
9/2/2017,20,18.9,0,3.1
9/3/2017,20,20.6,0,3.6
9/4/2017,20,25.6,0,0
9/5/2017,20,28.3,0,2.6
9/6/2017,20,17.2,0,2.6
9/7/2017,20,21.1,0,3.1
9/8/2017,20,21.1,0,2.1
9/9/2017,20,18.9,0,3.1
9/10/2017,20,21.7,0,2.6
9/11/2017,20,23.9,0,0
9/12/2017,20,25.6,0,0
9/13/2017,20,21.7,0.15,0
9/14/2017,20,23.3,0.05,1.5
9/15/2017,20,27.2,0,0
9/16/2017,20,26.1,0,1.5
9/17/2017,20,25.6,0,2.1
9/18/2017,20,22.2,0,2.6
9/19/2017,20,21.1,0.18,0
9/20/2017,20,25.6,0,3.1
9/21/2017,20,26.7,0,3.1
9/22/2017,20,26.7,0,3.6
9/23/2017,20,30,0,4.1
9/24/2017,20,31.1,0,2.1
9/25/2017,20,29.4,0,2.6
9/26/2017,20,27.2,0,1.5
9/27/2017,20,28.9,0,2.6
9/28/2017,20,23.3,0,0
9/29/2017,20,19.4,0,1.5
9/30/2017,20,15.6,0,3.6
10/1/2017,20,19.4,0,0
10/2/2017,20,21.1,0,0
10/3/2017,20,18.3,0,1.5
10/4/2017,20,23.9,0,2.1
10/5/2017,20,27.2,0,0
10/6/2017,20,25.6,0,2.6
10/7/2017,20,24.4,0,1.5
10/8/2017,20,25,0,0
10/9/2017,20,23.3,0.03,1.5
10/10/2017,20,26.1,0,2.6
10/11/2017,20,21.7,0,2.6
10/12/2017,20,16.7,0,4.6
10/13/2017,20,18.3,0,2.6
10/14/2017,20,21.7,0,0
10/15/2017,20,21.7,0,0
10/16/2017,20,13.3,0,1.5
10/17/2017,20,14.4,0,0
10/18/2017,20,20.6,0,2.1
10/19/2017,20,20.6,0,4.1
10/20/2017,20,22.2,0,2.1
10/21/2017,20,22.8,0,1.5
10/22/2017,20,21.1,0,1.5
10/23/2017,20,21.7,0,1.5
10/24/2017,20,20,0.05,0
10/25/2017,20,17.2,0,0
10/26/2017,20,12.8,0,2.1
10/27/2017,20,15.6,0,1.5
10/28/2017,20,18.3,0,1.5
10/29/2017,20,17.8,0.41,3.1
10/30/2017,20,12.8,0,3.6
10/31/2017,20,12.8,0,1.5
11/1/2017,20,13.3,0,1.5
11/2/2017,20,21.1,0,3.1
11/3/2017,20,22.8,0,2.6
11/4/2017,20,12.2,0,2.6
11/5/2017,20,14.4,0.03,0
11/6/2017,20,17.8,0,0
11/7/2017,20,7.2,0,4.1
11/8/2017,20,8.9,0,0
11/9/2017,20,11.7,0,1.5
11/10/2017,20,0.6,0,5.1
11/11/2017,20,2.2,0,2.1
11/12/2017,20,7.2,0,1.5
11/13/2017,20,8.3,0,2.6
11/14/2017,20,7.2,0,2.6
11/15/2017,20,8.9,0,2.1
11/16/2017,20,11.1,0,5.1
11/17/2017,20,8.3,0,3.6
11/18/2017,20,10.6,0,2.6
11/19/2017,20,7.8,0,6.7
11/20/2017,20,7.8,0,3.6
11/21/2017,20,13.3,0,2.1
11/22/2017,20,8.3,0,4.1
11/23/2017,20,5.6,0,1.5
11/24/2017,20,9.4,0,1.5
11/25/2017,20,13.3,0,0
11/26/2017,20,7.2,0,3.1
11/27/2017,20,10,0,3.1
11/28/2017,20,10.6,0,0
11/29/2017,20,15,0,4.6
11/30/2017,20,8.9,0,1.5
12/1/2017,20,9.4,0,2.6
12/2/2017,20,8.3,0,0
12/3/2017,20,8.3,0,1.5
12/4/2017,20,9.4,0,0
12/5/2017,20,15.6,0,3.1
12/6/2017,20,6.1,0,4.1
12/7/2017,20,6.7,0,2.6
12/8/2017,20,2.8,0,0
12/9/2017,20,-0.6,0.15,2.1
12/10/2017,20,3.3,0,4.1
12/11/2017,20,3.9,0,3.6
12/12/2017,20,6.7,0,3.1
12/13/2017,20,-1.1,0,5.1
12/14/2017,20,-1.7,0,5.1
12/15/2017,20,-4.4,0.05,2.6
12/16/2017,20,2.8,0,3.1
12/17/2017,20,2.8,0,2.1
12/18/2017,20,7.2,0,0
12/19/2017,20,12.8,0,2.1
12/20/2017,20,6.1,0,4.6
12/21/2017,20,3.9,0,2.6
12/22/2017,20,9.4,0,2.1
12/23/2017,20,8.3,0,0
12/24/2017,20,3.9,0,4.1
12/25/2017,20,1.1,0,6.7
12/26/2017,20,-2.8,0,3.6
12/27/2017,20,-4.4,0,3.1
12/28/2017,20,-7.8,0,4.1
12/29/2017,20,-6.1,0,4.1
12/30/2017,20,-5,0,3.6
12/31/2017,20,-10,0,4.1
1/1/2018,20,-7.8,0,2.31
1/2/2018,20,-3.9,0,5.61
1/3/2018,20,-1.7,0,0.4
1/4/2018,20,-4.5,0,9.2
1/5/2018,20,-8.9,0,8.04
1/6/2018,20,-11.1,0,5.51
1/7/2018,20,-8.3,0,4.23
1/8/2018,20,-1.1,0,3.69
1/9/2018,20,5.6,0,2.01
1/10/2018,20,3.9,0,0.49
1/11/2018,20,11.7,0,0.44
1/12/2018,20,14.4,0.96,1.48
1/13/2018,20,-0.6,0,6.56
1/14/2018,20,-5,0,4.63
1/15/2018,20,-1.7,0,1.04
1/16/2018,20,1.7,0,0.63
1/17/2018,20,-0.1,0,4.82
1/18/2018,20,0,0,0.94
1/19/2018,20,2.8,0,0.76
1/20/2018,20,9.4,0,1.73
1/21/2018,20,10,0,0.35
1/22/2018,20,7.2,0,2.54
1/23/2018,20,15.6,0,6.31
1/24/2018,20,2.2,0,6.06
1/25/2018,20,1.1,0,1.97
1/26/2018,20,3.3,0,1.58
1/27/2018,20,12.8,0,3.38
1/28/2018,20,10,0,0.24
1/29/2018,20,5.6,0,4.88
1/30/2018,20,1.65,0,6.98
1/31/2018,20,0,0,5.11
2/1/2018,20,7.2,0.24,0.08
2/2/2018,20,-4.4,0,7.81
2/3/2018,20,-1.1,0,4.55
2/4/2018,20,4.266666667,1,0.9
2/5/2018,20,-0.6,0,1.71
2/6/2018,20,2.8,0,0.65
2/7/2018,20,0.825,0.94,3.27
2/8/2018,20,-0.6,0,1.59
2/9/2018,20,0.6,0,2.21
2/10/2018,20,7.8,1,0.43
2/11/2018,20,11.83333333,0.41,1.72
2/12/2018,20,6.7,0,3.95
2/13/2018,20,2.8,0,0.72
2/14/2018,20,11.7,0,0.94
2/15/2018,20,15,0,0.47
2/16/2018,20,10.6,0,7.51
2/17/2018,20,2.2,0.2,0.53
2/18/2018,20,6.1,0,0.05
2/19/2018,20,9.4,0.72,0.61
2/20/2018,20,18.9,0,0.7
2/21/2018,20,25.6,0.18,1.67
2/22/2018,20,4.15,0,3.38
2/23/2018,20,3.733333333,0.52,0.14
2/24/2018,20,8.9,0.41,0.05
2/25/2018,20,5.6,0,0.18
2/26/2018,20,10.6,0,0.79
2/27/2018,20,12.8,0,2.21
2/28/2018,20,16.1,0,1.09
3/1/2018,20,13.9,0,2.59
3/2/2018,20,1.7,0.67,9.75
3/3/2018,20,7.8,0,6.77
3/4/2018,20,6.1,0,6.81
3/5/2018,20,5.6,0,2.7
3/6/2018,20,6.1,0,4.03
3/7/2018,20,0.933333333,0.71,2.98
3/8/2018,20,3.3,0.13,2.6
3/9/2018,20,5.6,0,5.01
3/10/2018,20,3.9,0,3.64
3/11/2018,20,6.7,0,0.8
3/12/2018,20,5.6,0,5.01
3/13/2018,20,3.9,0,5.46
3/14/2018,20,3.9,0,6.49
3/15/2018,20,7.2,0,5.01
3/16/2018,20,2.8,0,6.2
3/17/2018,20,7.8,0,2.45
3/18/2018,20,5.6,0,0.6
3/19/2018,20,7.8,0,0.63
3/20/2018,20,2.8,0,4.25
3/21/2018,20,0,0.27,51.33333333
3/22/2018,20,10,0,4.6
3/23/2018,20,8.3,0,4.38
3/24/2018,20,9.4,0,1.67
3/25/2018,20,7.2,0,1.09
3/26/2018,20,8.3,0,2.07
3/27/2018,20,6.7,0,0.95
3/28/2018,20,10.6,0,0.8
3/29/2018,20,11.7,0,1.53
3/30/2018,20,13.05,0.19,5.17
3/31/2018,20,10.6,0,5.07
4/1/2018,20,12.8,0,3.39
4/2/2018,20,5.6,0.17,0.29
4/3/2018,20,5.3,0.56,1.45
4/4/2018,20,12.8,0,8.31
4/5/2018,20,7.2,0,3.59
4/6/2018,20,16.1,0,2.95
4/7/2018,20,8.3,0,1.34
4/8/2018,20,5.6,0,4.55
4/9/2018,20,8.3,0,2.33
4/10/2018,20,9.4,0,2.88
4/11/2018,20,9.4,0,1.44
4/12/2018,20,12.8,0,3.34
4/13/2018,20,27.8,0,1.72
4/14/2018,20,18.9,0,7.14
4/15/2018,20,4.4,0.95,7.39
4/16/2018,20,12.8,0,7.57
4/17/2018,20,7.2,0,5.13
4/18/2018,20,11.7,0,1.14
4/19/2018,20,7.133333333,0,6.99
4/20/2018,20,10,0,5.79
4/21/2018,20,16.1,0,2.01
4/22/2018,20,15.6,0,2.17
4/23/2018,20,15,0,1.37
4/24/2018,20,16.7,0,4.66
4/25/2018,20,14.6,0.12,0.22
4/26/2018,20,20.6,0,1.41
4/27/2018,20,10.6,0,0.5
4/28/2018,20,17.2,0.4,1.74
4/29/2018,20,12.2,0,6.58
4/30/2018,20,10,0.3,1.44
5/1/2018,20,26.1,0,0.76
5/2/2018,20,31.1,0,3.79
5/3/2018,20,32.8,0.54,1.26
5/4/2018,20,27.8,0,3.62
5/5/2018,20,21.7,0,1.86
5/6/2018,20,16.7,0,0.9
5/7/2018,20,20.6,0,1.75
5/8/2018,20,19.4,0,1.14
5/9/2018,20,21.7,0,1.33
5/10/2018,20,17.8,0,0.83
5/11/2018,20,22.2,0,1.07
5/12/2018,20,14.4,1,1.56
5/13/2018,20,11.7,0,0.78
5/14/2018,20,21.1,0,1.38
5/15/2018,20,30,0.98,0.24
5/16/2018,20,15.3,0.95,1.6
5/17/2018,20,21.1,0,0.42
5/18/2018,20,17.2,0,2.94
5/19/2018,20,13.3,0.12,1.8
5/20/2018,20,26.1,0,7.55
5/21/2018,20,22.8,0,5.17
5/22/2018,20,13.26,0,2.11
5/23/2018,20,26.7,0,4.64
5/24/2018,20,27.2,0,7.78
5/25/2018,20,28.9,0,5.42
5/26/2018,20,29.4,0,2.56
5/27/2018,20,15,0,9.89
5/28/2018,20,20.6,0,4.09
5/29/2018,20,28.9,0,3.56
5/30/2018,20,22.2,0,6.14
5/31/2018,20,20,0,3.66
6/1/2018,20,26.7,0,2.75
6/2/2018,20,28.9,0,4.39
6/3/2018,20,16.1,0,9.72
6/4/2018,20,21.1,0,3.55
6/5/2018,20,21.7,0,6.32
6/6/2018,20,19.4,0,7.11
6/7/2018,20,18.9,0,7.37
6/8/2018,20,25.6,0,4.55
6/9/2018,20,26.1,0,1.2
6/10/2018,20,17.8,0,1.68
6/11/2018,20,21.1,0,7.19
6/12/2018,20,21.1,0,8.78
6/13/2018,20,23.5,0,5.88
6/14/2018,20,28.3,0,8.31
6/15/2018,20,23.3,0,2.29
6/16/2018,20,27.8,0,4.01
6/17/2018,20,28.9,0,6.52
6/18/2018,20,32.2,0,8.29
6/19/2018,20,30,0,3.22
6/20/2018,20,25.6,0,2.95
6/21/2018,20,28.3,0,2.8
6/22/2018,20,22.2,0,6.9
6/23/2018,20,18.6,0,1.94
6/24/2018,20,26.1,0,5.88
6/25/2018,20,26.1,0,4.43
6/26/2018,20,22.8,0,7.1
6/27/2018,20,21.7,0.16,7.49
6/28/2018,20,23.3,0.06,2.2
6/29/2018,20,31.1,0,4.55
6/30/2018,20,32.2,0,3.23
7/1/2018,20,32.8,0,4.47
7/2/2018,20,31.1,0,3.21
7/3/2018,20,27.8,0,1.9
7/4/2018,20,27.8,0,4.08
7/5/2018,20,29.4,0,10
7/6/2018,20,26.1,0,10.64
7/7/2018,20,22.8,0,5.09
7/8/2018,20,26.1,0,5.41
7/9/2018,20,28.9,0,8.89
7/10/2018,20,31.7,0,2.41
7/11/2018,20,28.3,0,4.44
7/12/2018,20,25.6,0,5.5
7/13/2018,20,27.2,0,8.22
7/14/2018,20,30.6,0,6.67
7/15/2018,20,27.8,0,5.23
7/16/2018,20,29.4,0,5.7
7/17/2018,20,21.7,0.12,5.28
7/18/2018,20,27.2,0,5.52
7/19/2018,20,26.1,0,6.74
7/20/2018,20,25.6,0,6.97
7/21/2018,20,22.8,0,0
7/22/2018,20,24.4,0.75,8.13
7/23/2018,20,26.1,0,8.83
7/24/2018,20,26.3,0,9.88
7/25/2018,20,25,0.66,5.58
7/26/2018,20,28.3,0,4.52
7/27/2018,20,25.4,0.56,2.18
7/28/2018,20,28.3,0,4.58
7/29/2018,20,26.7,0,3.92
7/30/2018,20,23.9,0,3.84
7/31/2018,20,25,0,6.87
8/1/2018,20,28.3,0,9.41
8/2/2018,20,29.4,0,1.41
8/3/2018,20,23.9,0,3.41
8/4/2018,20,28.3,0,4.38
8/5/2018,20,31.1,0,3.09
8/6/2018,20,32.2,0,4.46
8/7/2018,20,30,0.78,1.43
8/8/2018,20,30.6,0,5.23
8/9/2018,20,30,0,6.45
8/10/2018,20,28.3,0,3.03
8/11/2018,20,23.03333333,0.31,0.95
8/12/2018,20,27.8,0.06,2.59
8/13/2018,20,22.8,0.21,0.23
8/14/2018,20,22.4,0.09,6.56
8/15/2018,20,29.4,0,5.83
8/16/2018,20,30,0,3.45
8/17/2018,20,28.9,0.24,7.3
8/18/2018,20,28.3,0.77,5.49
8/19/2018,20,22.2,0,2.63
8/20/2018,20,22.8,0,2.28
8/21/2018,20,23.5,0,5.32
8/22/2018,20,27.2,0,6.44
8/23/2018,20,25,0,3.74
8/24/2018,20,26.7,0,4.46
8/25/2018,20,24.4,0,5.08
8/26/2018,20,26.7,0,4.29
8/27/2018,20,29.4,0,2.1
8/28/2018,20,32.8,0,5.7
8/29/2018,20,32.8,0,4.01
8/30/2018,20,30,0,2.51
8/31/2018,20,21.7,0,3.17
9/1/2018,20,23.9,0,3.84
9/2/2018,20,25.6,0,3.34
9/3/2018,20,30.6,0,1.94
9/4/2018,20,31.7,0,0.71
9/5/2018,20,29.4,0,5.15
9/6/2018,20,31.7,0.51,4.67
9/7/2018,20,22.2,0,5.31
9/8/2018,20,18.9,0.36,8.26
9/9/2018,20,15.3,0.93,7.31
9/10/2018,20,16.08,1,7.31
9/11/2018,20,23.3,0,0.58
9/12/2018,20,24.4,0.48,3.21
9/13/2018,20,23.3,0,6.43
9/14/2018,20,22.8,0,3.73
9/15/2018,20,24.4,0,2.12
9/16/2018,20,26.7,0,2.78
9/17/2018,20,23.9,0.11,4.42
9/18/2018,20,21.5,0,0.89
9/19/2018,20,26.1,0,4.88
9/20/2018,20,20,0,5.08
9/21/2018,20,21.7,0,8.17
9/22/2018,20,20,0,4.81
9/23/2018,20,18.15,0,3.27
9/24/2018,20,18.9,0,9.96
9/25/2018,20,22.84,0.85,3.19
9/26/2018,20,27.03333333,0,4.27
9/27/2018,20,20,0,4.93
9/28/2018,20,16.7,0,0.52
9/29/2018,20,21.1,0,3.38
9/30/2018,20,20.6,0,4.7
10/1/2018,20,24.4,0,1.33
10/2/2018,20,24.4,0,3.81
10/3/2018,20,21.7,0,3.36
10/4/2018,20,24.4,0,1.11
10/5/2018,20,19.4,0,2.6
10/6/2018,20,18.05,0.13,5.06
10/7/2018,20,25.6,0,0.36
10/8/2018,20,18.3,0.21,5.44
10/9/2018,20,23.9,0,3.16
10/10/2018,20,24.4,0,4.52
10/11/2018,20,22,0.89,3.32
10/12/2018,20,14.4,0,5.36
10/13/2018,20,12.8,0,4.86
10/14/2018,20,13.3,0,3.16
10/15/2018,20,18.3,0,9.24
10/16/2018,20,11.7,0,6.5
10/17/2018,20,16.1,0,9.03
10/18/2018,20,10,0,4.44
10/19/2018,20,13.3,0,6.47
10/20/2018,20,16.1,0,3.4
10/21/2018,20,7.2,0,5.6
10/22/2018,20,9.4,0,3.42
10/23/2018,20,16.7,0,10.69
10/24/2018,20,11.7,0,7.99
10/25/2018,20,9.4,0,4.97
10/26/2018,20,9.4,0,7.27
10/27/2018,20,10,0.48,9.3
10/28/2018,20,10.6,0,4.21
10/29/2018,20,12.8,0,9999
10/30/2018,20,12.8,0,3.73
10/31/2018,20,16.7,0,5.59
11/1/2018,20,19.4,0,5.28
11/2/2018,20,20,0.71,7.52
11/3/2018,20,12.2,0,6.99
11/4/2018,20,11.7,0,1.9
11/5/2018,20,10.93333333,0.79,8.71
11/6/2018,20,14.4,0,4.13
11/7/2018,20,16.1,0,9.42
11/8/2018,20,12.2,0,6.04
11/9/2018,20,9.733333333,0.95,10.51
11/10/2018,20,5,0,9.61
11/11/2018,20,7.2,0,2.03
11/12/2018,20,8.9,0,1.73
11/13/2018,20,8.5,0,9.97
11/14/2018,20,2.8,0,8.95
11/15/2018,20,0.2,0.54,13.57
11/16/2018,20,6.1,0,9.62
11/17/2018,20,7.8,0,6.43
11/18/2018,20,6.1,0,1.59
11/19/2018,20,10,0,2.3
11/20/2018,20,7.8,0,8.57
11/21/2018,20,6.1,0,12.56
11/22/2018,20,-3.3,0,9.04
11/23/2018,20,-0.6,0,2.74
11/24/2018,20,7.2,0.9,7.76
11/25/2018,20,12.2,0,1.24
11/26/2018,20,9.428571429,1,10.74
11/27/2018,20,5.6,0,10.1
11/28/2018,20,5,0,9.32
11/29/2018,20,6.1,0,8.38
11/30/2018,20,5,0,1.2
12/1/2018,20,7.2,0.9,5.26
12/2/2018,20,11.7,0.6,0.02
12/3/2018,20,11.1,0,8.3
12/4/2018,20,3.9,0,5.54
12/5/2018,20,2.2,0,4.43
12/6/2018,20,3.3,0,7.57
12/7/2018,20,2.2,0,7.71
12/8/2018,20,1.7,0,1.7
12/9/2018,20,1.7,0,3.68
12/10/2018,20,3.3,0,2.73
12/11/2018,20,3.9,0,5.36
12/12/2018,20,3.9,0,0.89
12/13/2018,20,2.35,0,6.03
12/14/2018,20,10,0,2.15
12/15/2018,20,10.6,0,8.48
12/16/2018,20,4.32,1,9.99
12/17/2018,20,6.7,0,10.64
12/18/2018,20,1.1,0,8.96
12/19/2018,20,5.6,0,1.56
12/20/2018,20,6.95,1,5.63
12/21/2018,20,14.23333333,0,9.29
12/22/2018,20,6.1,0,11.46
12/23/2018,20,6.1,0,1.76
12/24/2018,20,5.6,0,9.85
12/25/2018,20,3.3,0,6.38
12/26/2018,20,5.6,0,5.17
12/27/2018,20,5,0,4.35
12/28/2018,20,15,0,5.6
12/29/2018,20,8.3,0,6.87
12/30/2018,20,3.3,0,1.7
12/31/2018,20,6.1,1,8.59
